date,node_id,signed_news_shock,n_events
2024-01-24,N029,-0.16299,4
2024-01-25,N011,-0.11597,1
2024-01-25,N023,-0.22058,3
2024-01-25,N036,0.20736,4
2024-01-25,N018,-0.06698,2
2024-01-25,N009,0.11195,2
2024-01-25,N026,0.30636,1
2024-01-25,N008,-0.0737,4
2024-01-26,N002,-0.08462,1
2024-01-26,N005,0.05028,4
2024-01-26,N036,0.16619,4
2024-01-26,N035,-0.09901,4
2024-01-29,N010,-0.00343,1
2024-01-29,N025,0.05864,1
2024-01-29,N035,-0.18672,3
2024-01-29,N001,0.10865,1
2024-01-29,N003,0.1357,1
2024-01-29,N031,-0.2735,2
2024-01-29,N039,0.25616,1
2024-01-30,N023,0.14226,4
2024-01-30,N007,-0.10188,2
2024-01-30,N000,0.12909,4
2024-01-31,N003,0.12002,2
2024-01-31,N030,-0.03588,1
2024-01-31,N037,-0.11,4
2024-02-01,N014,-0.05521,1
2024-02-01,N027,-0.00509,1
2024-02-01,N028,0.22955,2
2024-02-01,N034,0.03396,4
2024-02-02,N016,-0.11604,2
2024-02-02,N006,0.02042,2
2024-02-02,N000,-0.00816,3
2024-02-05,N030,0.1469,2
2024-02-05,N022,0.34836,4
2024-02-05,N031,-0.32217,2
2024-02-05,N020,0.09281,3
2024-02-06,N018,-0.2768,3
2024-02-06,N013,0.05246,4
2024-02-06,N036,-0.08846,1
2024-02-06,N007,-0.14662,3
2024-02-06,N009,-0.131,2
2024-02-06,N032,0.13047,2
2024-02-06,N000,0.25087,1
2024-02-07,N034,0.00548,3
2024-02-07,N038,0.20899,4
2024-02-07,N007,-0.06226,1
2024-02-07,N006,0.13685,2
2024-02-07,N009,0.01795,1
2024-02-07,N018,-0.07723,2
2024-02-07,N026,0.25016,1
2024-02-08,N002,0.06666,1
2024-02-08,N023,-0.02054,3
2024-02-08,N007,-0.17615,1
2024-02-09,N012,0.11613,2
2024-02-09,N013,0.01195,2
2024-02-12,N020,0.09029,2
2024-02-12,N001,0.10458,2
2024-02-12,N029,-0.18207,2
2024-02-12,N031,-0.06856,2
2024-02-12,N033,0.00562,4
2024-02-12,N030,0.02495,1
2024-02-13,N023,0.17541,2
2024-02-13,N013,0.01975,2
2024-02-13,N005,0.15095,3
2024-02-13,N038,-0.14143,2
2024-02-13,N025,-0.16289,2
2024-02-13,N033,0.04653,4
2024-02-13,N021,0.35161,4
2024-02-14,N027,0.02447,2
2024-02-14,N010,-0.20651,2
2024-02-15,N032,-0.0967,4
2024-02-15,N030,-0.01648,3
2024-02-16,N001,-0.01279,1
2024-02-16,N008,-0.05695,3
2024-02-16,N016,-0.03496,2
2024-02-19,N033,0.29709,4
2024-02-19,N002,0.16338,2
2024-02-19,N021,-0.11698,1
2024-02-19,N016,0.25016,3
2024-02-20,N029,-0.00974,2
2024-02-20,N028,-0.10566,1
2024-02-21,N034,-0.21254,3
2024-02-21,N012,-0.02535,4
2024-02-21,N004,-0.14835,3
2024-02-21,N020,0.23095,4
2024-02-22,N035,-0.01246,2
2024-02-22,N032,-0.07973,1
2024-02-23,N027,0.07923,3
2024-02-23,N003,0.02131,4
2024-02-23,N038,0.05065,1
2024-02-23,N007,-0.11384,1
2024-02-23,N037,-0.01772,3
2024-02-23,N025,0.11489,1
2024-02-26,N000,-0.08177,2
2024-02-26,N015,-0.08281,3
2024-02-26,N002,-0.11365,1
2024-02-26,N030,-0.17003,3
2024-02-26,N001,-0.04001,1
2024-02-27,N001,-0.10799,2
2024-02-27,N026,-0.00113,3
2024-02-27,N025,0.06453,4
2024-02-27,N010,-0.08741,2
2024-02-28,N033,-0.01543,4
2024-02-28,N027,0.02418,3
2024-02-28,N008,0.05987,1
2024-02-28,N014,-0.29714,2
2024-02-28,N019,-0.19645,3
2024-02-29,N020,0.12863,3
2024-02-29,N030,0.00811,2
2024-03-01,N029,-0.21594,4
2024-03-01,N017,0.27007,1
2024-03-01,N008,0.14716,3
2024-03-01,N015,-0.08868,3
2024-03-01,N018,-0.04056,3
2024-03-01,N014,0.09199,2
2024-03-04,N003,-0.14512,1
2024-03-04,N029,0.08655,4
2024-03-04,N004,0.11898,2
2024-03-04,N035,0.15948,1
2024-03-05,N030,-0.03635,2
2024-03-05,N027,0.04198,1
2024-03-05,N006,0.2602,1
2024-03-06,N030,0.08698,3
2024-03-06,N003,0.17459,1
2024-03-06,N012,-0.16878,1
2024-03-06,N015,0.09156,1
2024-03-07,N001,0.11322,1
2024-03-07,N035,-0.06023,4
2024-03-07,N016,-0.05557,1
2024-03-07,N024,-0.11002,3
2024-03-07,N038,0.20072,3
2024-03-08,N007,0.04219,2
2024-03-08,N038,0.15322,4
2024-03-08,N025,-0.14378,1
2024-03-08,N017,0.09171,2
2024-03-08,N014,-0.21906,4
2024-03-08,N031,-0.08076,4
2024-03-08,N012,0.2054,2
2024-03-11,N010,0.11286,1
2024-03-11,N035,0.34233,2
2024-03-11,N000,0.03595,3
2024-03-12,N016,-0.09469,1
2024-03-12,N009,-0.05358,1
2024-03-12,N019,-0.06826,1
2024-03-12,N037,0.11461,2
2024-03-12,N031,-0.0872,3
2024-03-12,N035,-0.12442,1
2024-03-13,N026,-0.13801,2
2024-03-13,N024,0.09462,3
2024-03-13,N020,-0.00792,1
2024-03-14,N027,0.02788,4
2024-03-14,N014,-0.05874,4
2024-03-14,N034,-0.03664,2
2024-03-14,N028,0.1169,1
2024-03-14,N025,-0.13983,2
2024-03-14,N032,-0.14466,4
2024-03-15,N033,0.1609,2
2024-03-15,N000,-0.05584,3
2024-03-15,N027,0.15657,1
2024-03-15,N015,-0.07826,1
2024-03-18,N031,0.07624,1
2024-03-18,N038,0.10471,3
2024-03-18,N016,-0.024,1
2024-03-18,N025,0.23439,2
2024-03-19,N018,0.17847,4
2024-03-19,N003,0.0128,3
2024-03-20,N014,-0.09017,4
2024-03-20,N038,0.42391,4
2024-03-20,N029,0.04961,3
2024-03-21,N022,-0.03704,1
2024-03-21,N034,-0.09898,1
2024-03-21,N036,0.08651,3
2024-03-21,N005,-0.20142,1
2024-03-21,N015,0.05922,4
2024-03-21,N023,0.09316,1
2024-03-22,N020,-0.14209,1
2024-03-22,N025,-0.12378,1
2024-03-22,N029,0.31299,3
2024-03-22,N039,-0.14083,1
2024-03-22,N035,0.17673,4
2024-03-22,N011,0.13238,2
2024-03-25,N006,-0.10818,1
2024-03-25,N009,0.28441,1
2024-03-25,N036,-0.14928,2
2024-03-25,N013,0.25112,1
2024-03-25,N012,-0.08023,1
2024-03-25,N015,0.11462,1
2024-03-26,N005,-0.08933,1
2024-03-26,N013,0.12005,4
2024-03-26,N004,0.08138,2
2024-03-26,N029,0.16424,1
2024-03-27,N035,-0.05191,2
2024-03-27,N013,0.05188,2
2024-03-27,N020,-0.08624,3
2024-03-27,N023,-0.08832,2
2024-03-27,N018,-0.02937,4
2024-03-27,N004,-0.07482,1
2024-03-28,N039,0.24622,3
2024-03-28,N002,0.0757,2
2024-03-28,N010,-0.07516,3
2024-03-28,N011,-0.13174,4
2024-03-28,N012,-0.0821,3
2024-03-28,N003,-0.13082,3
2024-03-28,N034,-0.12261,3
2024-03-29,N013,-0.10581,1
2024-03-29,N010,-0.05076,3
2024-03-29,N023,0.02744,3
2024-03-29,N037,0.06213,4
2024-03-29,N020,0.12251,1
2024-04-01,N027,0.13649,2
2024-04-01,N024,-0.12755,3
2024-04-01,N005,0.20186,4
2024-04-01,N036,-0.37488,4
2024-04-01,N014,-0.01565,1
2024-04-01,N019,0.14755,3
2024-04-02,N015,0.04723,2
2024-04-02,N020,0.39019,4
2024-04-02,N039,0.05758,3
2024-04-02,N013,-0.03027,3
2024-04-02,N019,0.22482,3
2024-04-02,N037,-0.29688,2
2024-04-02,N016,-0.27374,1
2024-04-03,N031,-0.04833,1
2024-04-03,N035,-0.02118,2
2024-04-03,N001,0.17658,1
2024-04-03,N020,0.0748,3
2024-04-04,N025,-0.26218,3
2024-04-04,N002,-0.0229,4
2024-04-05,N037,-0.15133,3
2024-04-05,N029,-0.16299,3
2024-04-05,N022,0.06028,2
2024-04-05,N035,-0.21698,2
2024-04-05,N025,-0.01521,2
2024-04-05,N034,-0.07205,3
2024-04-08,N008,-0.02311,4
2024-04-08,N019,-0.15632,1
2024-04-08,N003,0.03261,1
2024-04-08,N012,-0.17957,1
2024-04-08,N015,-0.36595,4
2024-04-08,N006,-0.06822,1
2024-04-09,N008,0.02956,3
2024-04-09,N017,0.07905,4
2024-04-09,N006,0.19972,2
2024-04-09,N024,0.02227,2
2024-04-10,N038,0.10755,2
2024-04-10,N032,-0.03146,2
2024-04-10,N018,0.07291,1
2024-04-10,N012,0.14333,4
2024-04-11,N020,0.25877,2
2024-04-11,N031,-0.21866,4
2024-04-11,N037,-0.11112,1
2024-04-11,N027,0.10923,4
2024-04-12,N032,-0.05236,4
2024-04-12,N035,0.05758,2
2024-04-12,N034,-0.02716,4
2024-04-15,N009,-0.02549,2
2024-04-15,N010,-0.10134,3
2024-04-15,N035,0.016,1
2024-04-15,N030,-0.01053,4
2024-04-15,N017,-0.03298,1
2024-04-15,N006,0.17806,3
2024-04-16,N029,0.08065,4
2024-04-16,N019,-0.10628,4
2024-04-16,N002,-0.04453,3
2024-04-16,N023,0.16673,3
2024-04-16,N006,0.1483,2
2024-04-17,N005,0.0852,2
2024-04-17,N020,-0.1109,4
2024-04-17,N008,0.24925,2
2024-04-17,N023,0.02856,4
2024-04-17,N019,0.03192,3
2024-04-17,N031,-0.18298,1
2024-04-17,N000,-0.07557,4
2024-04-18,N027,0.03068,2
2024-04-18,N021,-0.2199,3
2024-04-18,N019,0.07996,3
2024-04-18,N009,0.26581,4
2024-04-18,N032,-0.00444,2
2024-04-18,N003,-0.11424,4
2024-04-18,N002,-0.12127,3
2024-04-19,N010,0.24811,1
2024-04-19,N026,0.0013,1
2024-04-19,N023,-0.1518,1
2024-04-22,N030,0.10242,1
2024-04-22,N035,0.14515,4
2024-04-22,N013,0.12157,2
2024-04-22,N029,-0.12939,1
2024-04-22,N034,-0.14165,3
2024-04-22,N006,0.29094,1
2024-04-22,N025,-0.33306,2
